year,fire_name,acres,county,latitude,longitude
2013,201812962,1.3,Merced,36.930183,-120.84065
2013,201812963,1.3,Stanislaus,37.6399,-120.57135
2013,201812964,1.3,Calaveras,37.974183,-120.653817
2013,201812965,1.25,Tuolumne,37.841417,-120.224617
2013,201812966,1.2,Sonoma,38.491433,-122.736633
2013,201812967,1.2,San Mateo,37.407583,-122.197417
2013,201812968,1.2,Shasta,40.476633,-122.242833
2013,201812969,1.13,San Luis Obispo,35.55025,-120.791467
2013,201812970,1.0,Sonoma,38.38425,-122.517367
2013,201812971,1.0,Alameda,37.734767,-121.610767
2013,201812972,1.0,Riverside,33.921683,-116.981317
2013,201812973,1.0,Santa Cruz,36.894433,-121.8004
2013,201812974,1.0,Placer,39.134367,-120.95005
2013,201812975,0.5,Riverside,33.829917,-117.114167
2013,201812976,0.5,Napa,38.589367,-122.5774
2013,201812977,0.5,Mendocino,39.914233,-123.242867
2013,201812978,0.5,Calaveras,38.21185,-120.764417
2013,201812979,0.5,Monterey,36.1456,-120.7556
2013,201812980,0.5,Merced,37.055,-121.016117
2013,201812981,0.5,Tuolumne,37.97835,-120.3391
2013,201812982,0.5,Merced,36.93425,-120.837933
2013,201812983,0.1,Butte,39.709767,-121.84165
2013,201812984,0.1,San Diego,33.013483,-116.90535
2013,201812985,0.1,Santa Cruz,36.920333,-121.726
2013,201812986,0.1,Yuba,39.38215,-121.213517
2013,201812987,0.1,Riverside,34.031117,-117.395983
2013,201812988,0.1,Tehama,40.077467,-122.2569
2013,201812990,0.1,Santa Cruz,36.902483,-121.63635
2013,201812992,0.1,Placer,38.728817,-121.364633
2013,201812993,0.1,Nevada,39.205733,-121.1075
2013,201812994,0.1,San Luis Obispo,35.4379,-120.608417
2013,201812995,0.1,Siskiyou,41.81145,-122.5924
2013,201812996,0.1,Riverside,33.506783,-117.153967
2013,201812997,0.1,Siskiyou,41.781717,-121.933867
2013,201812998,0.1,Riverside,33.7054,-116.91745
2013,201812999,0.1,Calaveras,38.1773,-120.390333
2013,201813000,0.1,Riverside,33.588567,-114.59635
2013,201813001,0.1,Humboldt,40.0877,-123.810717
2013,201813002,1.0,Riverside,33.731033,-117.331017
2013,201813003,1.0,Tehama,40.258733,-122.206133
2013,201813004,1.0,Yuba,39.31495,-121.276467
2013,201813005,1.0,Shasta,40.5005,-121.9211
2013,201813006,1.0,Shasta,40.496217,-122.046583
2013,201813007,1.0,Yuba,39.135067,-121.594717
2013,201813008,1.0,Riverside,33.700483,-117.219433
2013,201813009,1.0,Sonoma,38.6816,-123.051667
2013,201813010,0.5,San Bernardino,34.1213,-117.237467
2013,201813011,0.5,Fresno,36.68235,-119.724367
2013,201813012,0.5,San Luis Obispo,35.710783,-120.310467
